1qzw	4.1
1r3e	2.1
1r9f	1.85
1r9s	4.25
1r9t	3.5
1rc7	2.15
1rgo	None
1rkj	None
1rlg	2.7
1rmv	2.9
1rpu	2.5
1s03	2.7
1s0v	3.2
1s72	2.4
1s76	2.88
1s77	2.69
1sds	1.8
1ser	2.9
1sfo	3.61
1si3	2.6
1sj3	2.2
1sj4	2.7
1sjf	2.75
1sm1	3.42
1t0k	3.24
1t2r	None
1t4l	None
1tfw	2.2
1tfy	3.2
1ttt	2.7
1u0b	2.3
1u1y	2.85
1u63	3.4
1u6b	3.1
1u6p	None
1ull	None
1un6	3.1
1urn	1.92
1utd	2.1
1utf	1.9
1utv	1.9
1uvi	2.15
1uvj	1.9
1uvk	2.45
1uvl	2.0
1uvm	2.0
1uvn	3.0
1vbx	2.7
1vby	2.9
1vbz	2.8
1vc0	2.5
1vc5	3.4
1vc6	2.8
1vc7	2.45
1vfg	2.8
1vq4	2.7
1vq5	2.6
1vq6	2.7
1vq7	2.5
1vq8	2.2
1vq9	2.4
1vqk	2.3
1vql	2.3
1vqm	2.3
1vqn	2.4
1vqo	2.2
1vqp	2.25
1vs5	3.46
1vs6	3.46
1vs7	3.46
1vs8	3.46
1vsa	3.71
1vsp	3.83
1vt2	3.3
1vtm	3.5
1w2b	3.5
1wmq	1.6
1wne	3.0
1wpu	1.48
1wrq	2.2
1wsu	2.3
1wwd	None
1wwe	None
1wwf	None
1wwg	None
1wz2	3.21
1xmo	3.25
1xmq	3.0
1xnq	3.05
1xnr	3.1
1xok	3.0
1xpo	3.15
1xpr	3.15
1xpu	3.05
1y1w	4.0
1y39	2.8
1y69	3.33
1y77	4.5
1yhq	2.4
1yi2	2.65
1yij	2.6
1yit	2.8
1yj9	2.9
1yjn	3.0
1yjw	2.9
1ytu	2.5
1yty	2.29
1yvp	2.2
1yyk	2.5
1yyo	2.9
1yyw	2.8
1yz9	2.1
1zbh	3.0
1zbi	1.85
1zbl	2.2
1zbn	None
1zdh	2.7
1zdi	2.7
1zdj	2.9
1zdk	2.86
1ze2	3.0
1zh5	1.85
1zho	2.6
1zjw	2.5
1zl3	2.8
1zse	3.0
1zzn	3.37
2a1r	2.6
2a8v	2.4
2a9x	None
2ab4	2.4
2ad9	None
2adb	None
2adc	None
2ake	3.1
2ann	2.3
2anr	1.94
2asb	1.5
2atw	2.25
2avy	3.46
2aw4	3.46
2aw7	3.46
2awb	3.46
2az0	2.6
2az2	2.6
2azx	2.8
2b2d	2.9
2b2e	3.15
2b2g	3.02
2b3j	2.0
2b63	3.8
2b6g	None
2bbv	2.8
2bgg	2.2
2bh2	2.15
2bny	3.0
2bq5	2.91
2bs0	2.45
2bs1	2.8
2bte	2.9
2bu1	2.2
2bx2	2.85
2byt	3.3
2c06	None
2c4q	2.38
2c4r	3.6
2c4y	2.68
2c4z	2.6
2c50	2.65
2c51	2.8
2cjk	None
2csx	2.7
2ct8	2.7
2cv0	2.4
2cv1	2.41
2cv2	2.69
2czj	3.01
2d3o	3.35
2d6f	3.15
2db3	2.2
2der	3.1
2det	3.4
2deu	3.4
2dlc	2.4
2dr2	3.0
2dr5	2.8
2dr7	2.8
2dr8	2.5
2dr9	2.8
2dra	2.5
2drb	2.8
2du3	2.6
2du4	2.8
2du5	3.2
2du6	3.3
2dvi	2.61
2dxi	2.2
